controller,rmse_ey_mean,rmse_ey_std,max_abs_ey_mean,max_abs_ey_std,mean_abs_delta_mean,mean_abs_delta_std
Hybrid,0.017107058037858863,0.0005961881125984946,0.2375,0.0,0.0029030796337814004,0.00019231498427890433
MPC,0.028301017742442768,0.0,0.2375,0.0,0.0015534282260654157,0.0
PID,0.031916666476707524,0.0,0.25,0.0,0.002790547423341595,0.0
SAC,0.016691310248608964,0.0005798380548102339,0.2375,0.0,0.0030185173898935316,0.0002293011932675381
