seed,controller,rmse_ey,max_abs_ey,mean_abs_delta,final_ey
0,PID,0.031916666476707524,0.25,0.002790547423341595,2.7729252196480672e-14
0,MPC,0.028301017742442768,0.23750000000000002,0.0015534282260654157,5.9100139695582896e-37
0,SAC,0.017156624819862076,0.23750000000000002,0.0026744648441672323,-0.000783635704429902
0,Hybrid,0.01763313703351055,0.23750000000000002,0.0025806600326696606,-0.0007649849825373664
1,PID,0.031916666476707524,0.25,0.002790547423341595,2.7729252196480672e-14
1,MPC,0.028301017742442768,0.23750000000000002,0.0015534282260654157,5.9100139695582896e-37
1,SAC,0.017419772924262684,0.23750000000000002,0.002994449883699417,0.0030527142549134382
1,Hybrid,0.017851928180404812,0.23750000000000002,0.002876880927186921,0.0029790263353399278
2,PID,0.031916666476707524,0.25,0.002790547423341595,2.7729252196480672e-14
2,MPC,0.028301017742442768,0.23750000000000002,0.0015534282260654157,5.9100139695582896e-37
2,SAC,0.016280773534304953,0.23750000000000002,0.003042166493833065,-0.00022792818332606555
2,Hybrid,0.01664849574808135,0.23750000000000002,0.002987268905955619,-0.00022420850334995424
3,PID,0.031916666476707524,0.25,0.002790547423341595,2.7729252196480672e-14
3,MPC,0.028301017742442768,0.23750000000000002,0.0015534282260654157,5.9100139695582896e-37
3,SAC,0.01654707621821804,0.23750000000000002,0.0030653029680252075,-0.0022709512301810147
3,Hybrid,0.01685882798621303,0.23750000000000002,0.0030602966548129475,-0.0022272013351130825
4,PID,0.031916666476707524,0.25,0.002790547423341595,2.7729252196480672e-14
4,MPC,0.028301017742442768,0.23750000000000002,0.0015534282260654157,5.9100139695582896e-37
4,SAC,0.01605230374639707,0.23750000000000002,0.003316202759742737,-0.0012470617417981754
4,Hybrid,0.01654290124108457,0.23750000000000002,0.0030102916482818527,-0.0012153859488971302
