lambda_sac,rmse_ey_mean,rmse_ey_std,max_abs_ey_mean,mean_abs_delta_mean,score_mean
1,0.020177847176093645,0.00041205852282136,0.2375,0.0023247590852024753,0.1400902267186949
2,0.018759538572516762,0.00046901786144055047,0.2375,0.0025316676446395063,0.13877537239483653
3,0.018182520093096854,0.0005087710624820234,0.2375,0.002643890166860996,0.13825446517652734
5,0.017667198260901316,0.0005631735940954065,0.2375,0.002741731757174693,0.1377880641394887
8,0.01731331682165873,0.0005954303635423884,0.2375,0.0028455242192000243,0.13748607893125875
10,0.017189934777099566,0.0005970017680491407,0.2375,0.0028801838313692635,0.1373800266927842
12,0.017107058037858863,0.0005961881125984946,0.2375,0.0029030796337814004,0.13730859785474958
15,0.017023304769386283,0.0005935677668968642,0.2375,0.002926856075414521,0.13723673280709353
