seed,ey0,epsi0,controller,rmse_ey,max_abs_ey,mean_abs_delta,final_ey
0,-0.4,-0.1,PID,0.06383333295341505,0.5,0.00558109484668319,-5.5458504392961343e-14
0,-0.4,-0.1,MPC,0.06182845343457202,0.5124999527656274,0.0032413097984732536,7.546344406460944e-36
0,-0.4,-0.1,SAC,0.04281042471423722,0.47500000000000003,0.004633030705153942,-0.0007836536327194331
0,-0.4,-0.1,Hybrid,0.04368074371960678,0.47500000000000003,0.004603987559911941,-0.0007649871084412506
0,-0.4,-0.05,PID,0.05220512093230167,0.4375,0.004376155282003002,-4.09486954581406e-14
0,-0.4,-0.05,MPC,0.05016267282679437,0.4375,0.002343748160387159,-3.411897151513105e-36
0,-0.4,-0.05,SAC,0.03393137705973893,0.4375,0.004247842915356159,-0.0007836612214652
0,-0.4,-0.05,Hybrid,0.034584409505688855,0.4375,0.004116546324505633,-0.0007649877341183713
0,-0.4,0.0,PID,0.04200967304287697,0.4,0.003392045640446209,-2.6438886523319953e-14
0,-0.4,0.0,MPC,0.03907321023329677,0.4,0.0015862928202104274,-1.4370178400389757e-35
0,-0.4,0.0,SAC,0.027489859479479684,0.4,0.0037113749980926514,-0.0007836437880064548
0,-0.4,0.0,Hybrid,0.027986675753563544,0.4,0.0035988878395450358,-0.000764983383318549
0,-0.4,0.05,PID,0.034539952645901116,0.36250000000000004,0.002823619977680128,-1.1929077588499195e-14
0,-0.4,0.05,MPC,0.03129260226410959,0.36250000000000004,0.001049677856987652,-2.045510786610153e-35
0,-0.4,0.05,SAC,0.023537471456039887,0.36250000000000004,0.003079901561141014,-0.0007836441331781168
0,-0.4,0.05,Hybrid,0.023793285583724285,0.36250000000000004,0.003004371101010614,-0.0007649854864472808
0,-0.4,0.1,PID,0.03177989538043263,0.325,0.002903620140344803,2.5807313463215978e-15
0,-0.4,0.1,MPC,0.024628061711558454,0.325,0.0011667094023986256,-2.633421229798552e-35
0,-0.4,0.1,SAC,0.02016725088200327,0.325,0.0025013021007180215,-0.0007836442008449469
0,-0.4,0.1,Hybrid,0.020326938735265487,0.325,0.0024605748401614596,-0.0007649837844187983
0,-0.2,-0.1,PID,0.044552236337549886,0.33412433333333336,0.0041217854352155105,-4.223906113130142e-14
0,-0.2,-0.1,MPC,0.04020411656591359,0.31856375789451535,0.0024714503494810574,1.0367287577910185e-35
0,-0.2,-0.1,SAC,0.02282637899866437,0.275,0.004086517803370953,-0.0007836487359510805
0,-0.2,-0.1,Hybrid,0.023452063021332747,0.275,0.004065039341129379,-0.0007649835563993092
0,-0.2,-0.05,PID,0.031916666476707524,0.25,0.002790547423341595,-2.7729252196480672e-14
0,-0.2,-0.05,MPC,0.028301017742442768,0.23750000000000002,0.0015534282260654157,-5.9100139695582896e-37
0,-0.2,-0.05,SAC,0.01708039645029136,0.23750000000000002,0.0031846689060330393,-0.0007836562822549744
0,-0.2,-0.05,Hybrid,0.01745567153982135,0.23750000000000002,0.0030465155834314066,-0.0007649852655956768
0,-0.2,0.0,PID,0.021004836521438485,0.2,0.0016960228202231044,-1.3219443261659977e-14
0,-0.2,0.0,MPC,0.019483198714837256,0.2,0.0007940631303824236,-7.288001717107604e-36
0,-0.2,0.0,SAC,0.01345426500309496,0.2,0.002401309050619602,-0.0007836514576907778
0,-0.2,0.0,Hybrid,0.01364816894971869,0.2,0.0022426026787136176,-0.0007649845111774548
0,-0.2,0.05,PID,0.015889947690216316,0.1625,0.0014518100701724015,1.2903656731607989e-15
0,-0.2,0.05,MPC,0.012314030855779227,0.1625,0.0005833547011993128,-1.316710614899276e-35
0,-0.2,0.05,SAC,0.009937360805299262,0.1625,0.0015180960297584533,-0.0007836451432651173
0,-0.2,0.05,Hybrid,0.010048176047176113,0.1625,0.001455925813578763,-0.0007649892748499998
0,-0.2,0.1,PID,0.021272880385640073,0.1511594870013317,0.0024269090027348146,1.5800174607981502e-14
0,-0.2,0.1,MPC,0.009494383553896032,0.125,0.0012725044852196369,-1.9046210580877745e-35
0,-0.2,0.1,SAC,0.007254106001288892,0.125,0.0015013859421014785,-0.0007836446038326787
0,-0.2,0.1,Hybrid,0.007327328225312756,0.125,0.0014727349192066403,-0.0007649835961074884
0,0.0,-0.1,PID,0.027883963921884726,0.20743190854074073,0.0029456021836840223,-2.901961786964144e-14
0,0.0,-0.1,MPC,0.019213879643061742,0.15246117514766735,0.001752747514344211,1.3188180265119796e-35
0,0.0,-0.1,SAC,0.007831057988160322,0.09572133570909501,0.002465682402253151,-0.00078365803539913
0,0.0,-0.1,Hybrid,0.00810462790878416,0.09701199906398714,0.0025472847203089535,-0.0007649871622157544
0,0.0,-0.05,PID,0.013941981960942363,0.10371595427037036,0.0014728010918420111,-1.450980893482072e-14
0,0.0,-0.05,MPC,0.009123257077276781,0.0725279326166528,0.0008608940847784041,5.8791044318850706e-36
0,0.0,-0.05,SAC,0.0030909028882709975,0.037500000000000006,0.0012700284272432326,-0.0007836558700696942
0,0.0,-0.05,Hybrid,0.003209474845385008,0.03826687222733275,0.0012200107595436898,-0.000764987020455638
0,0.0,0.0,PID,0.0,0.0,0.0,0.0
0,0.0,0.0,MPC,8.888705734052261e-44,6.709499120186112e-43,1.3993624315904308e-44,-1.2703611082092767e-76
0,0.0,0.0,SAC,0.0007795894236182722,0.0007836393456417912,6.152838468551636e-06,-0.0007836392801468116
0,0.0,0.0,Hybrid,0.0007609928858391405,0.0007649907251471671,5.840563579290677e-06,-0.0007649877376494927
0,0.0,0.05,PID,0.013941981960942363,0.10371595427037036,0.0014728010918420111,1.450980893482072e-14
0,0.0,0.05,MPC,0.009123257077276781,0.0725279326166528,0.0008608940847784041,-5.8791044318850706e-36
0,0.0,0.05,SAC,0.0035628044698093487,0.037500000000000006,0.0010358117520809173,-0.0007836478872104804
0,0.0,0.05,Hybrid,0.003751565484200658,0.03810338128062945,0.0010175623692413398,-0.0007649835618141702
0,0.0,0.1,PID,0.027883963921884726,0.20743190854074073,0.0029456021836840223,2.901961786964144e-14
0,0.0,0.1,MPC,0.019213879643061742,0.15246117514766735,0.001752747514344211,-1.3188180265119796e-35
0,0.0,0.1,SAC,0.006656785733938776,0.07500000000000001,0.0019657161086797715,-0.0007836366365626233
0,0.0,0.1,Hybrid,0.007089501918136277,0.07500000000000001,0.0019448090342387085,-0.0007649887725538423
0,0.2,-0.1,PID,0.021272880385640073,0.1511594870013317,0.0024269090027348146,-1.5800174607981502e-14
0,0.2,-0.1,MPC,0.009494383553896032,0.125,0.0012725044852196369,1.9046210580877745e-35
0,0.2,-0.1,SAC,0.007009364743986447,0.125,0.0014064598828554154,-0.0007836557814660356
0,0.2,-0.1,Hybrid,0.007042132881562658,0.125,0.0014076517204888814,-0.000764986136787806
0,0.2,-0.05,PID,0.015889947690216316,0.1625,0.0014518100701724015,-1.2903656731607989e-15
0,0.2,-0.05,MPC,0.012314030855779227,0.1625,0.0005833547011993128,1.316710614899276e-35
0,0.2,-0.05,SAC,0.010058883623219762,0.1625,0.0013175279647111892,-0.0007836445068954196
0,0.2,-0.05,Hybrid,0.010183904778826044,0.1625,0.0012622580197769043,-0.0007649866746289746
0,0.2,0.0,PID,0.021004836521438485,0.2,0.0016960228202231044,1.3219443261659977e-14
0,0.2,0.0,MPC,0.019483198714837256,0.2,0.0007940631303824236,7.288001717107604e-36
0,0.2,0.0,SAC,0.012965814468350571,0.2,0.0020472681522369384,-0.0007836370262153809
0,0.2,0.0,Hybrid,0.013210938602901309,0.2,0.0019823087512168837,-0.0007649849822453244
0,0.2,0.05,PID,0.031916666476707524,0.25,0.002790547423341595,2.7729252196480672e-14
