seed,case,controller,rmse_ey,max_abs_ey,mean_abs_delta,final_ey
0,A_large_ey,PID,0.05220512093230167,0.4375,0.004376155282003002,4.09486954581406e-14
0,A_large_ey,MPC,0.05016267282679436,0.4375,0.0023437481603871594,3.4118971515130517e-36
0,A_large_ey,SAC,0.03368388008317495,0.4375,0.005161349177360535,-0.0007836474581786295
0,A_large_ey,Hybrid,0.034298916879583155,0.4375,0.0049923813024922385,-0.0007649852528233991
0,B_large_epsi,PID,0.044552236337549886,0.33412433333333336,0.0041217854352155105,4.223906113130142e-14
0,B_large_epsi,MPC,0.04020411656591359,0.3185637578945154,0.002471450349481057,-1.0367287577911268e-35
0,B_large_epsi,SAC,0.022752806206024212,0.275,0.004062647670507431,-0.0007836450796746404
0,B_large_epsi,Hybrid,0.02341293394916639,0.275,0.0039542836073939444,-0.0007649854175292794
0,C_proc_noise,PID,0.03183661125688814,0.24815130065021204,0.003829487097685594,-0.004620141819717977
0,C_proc_noise,MPC,0.02816025210241517,0.23780471707975445,0.0026136778714662954,-0.0033915846574167465
0,C_proc_noise,SAC,0.017135367445561614,0.23780471707975445,0.004929269254207611,-0.002234459248092801
0,C_proc_noise,Hybrid,0.017589521376355242,0.23780471707975445,0.004744631372214784,-0.00228883792757871
0,D_cf_mismatch,PID,0.036252449002204465,0.25927826666666665,0.003620226044538681,-6.746947767155865e-11
0,D_cf_mismatch,MPC,0.030005890183693727,0.24499997703501467,0.001841556273523475,-4.764108510062581e-31
0,D_cf_mismatch,SAC,0.01853911731414206,0.23750000000000002,0.00324164267629385,-0.0007836574643090753
0,D_cf_mismatch,Hybrid,0.01896449600602628,0.23750000000000002,0.0032076332423137126,-0.000764987643631539
1,A_large_ey,PID,0.05220512093230167,0.4375,0.004376155282003002,4.09486954581406e-14
1,A_large_ey,MPC,0.05016267282679436,0.4375,0.0023437481603871594,3.4118971515130517e-36
1,A_large_ey,SAC,0.03399089897253712,0.4375,0.004498918764293194,0.003052723300699287
1,A_large_ey,Hybrid,0.034683861058746684,0.4375,0.004286163018546031,0.0029790247494000137
1,B_large_epsi,PID,0.044552236337549886,0.33412433333333336,0.0041217854352155105,4.223906113130142e-14
1,B_large_epsi,MPC,0.04020411656591359,0.3185637578945154,0.002471450349481057,-1.0367287577911268e-35
1,B_large_epsi,SAC,0.023018571662013532,0.275,0.0038519442826509477,0.003052725488694229
1,B_large_epsi,Hybrid,0.023758994430514435,0.275,0.0037241762834053743,0.0029790436308192053
1,C_proc_noise,PID,0.03183661125688814,0.24815130065021204,0.003829487097685594,-0.004620141819717977
1,C_proc_noise,MPC,0.02816025210241517,0.23780471707975445,0.0026136778714662954,-0.0033915846574167465
1,C_proc_noise,SAC,0.01736676228442625,0.23780471707975445,0.005308221355080605,0.0016560278939061614
1,C_proc_noise,Hybrid,0.017786577993906816,0.23780471707975445,0.005076489771311965,0.0015260198934671234
1,D_cf_mismatch,PID,0.036252449002204465,0.25927826666666665,0.003620226044538681,-6.746947767155865e-11
1,D_cf_mismatch,MPC,0.030005890183693727,0.24499997703501467,0.001841556273523475,-4.764108510062581e-31
1,D_cf_mismatch,SAC,0.018356167813984536,0.23750000000000002,0.0038999077677726746,0.003052712036274855
1,D_cf_mismatch,Hybrid,0.018730799710640296,0.23750000000000002,0.0037380905015116446,0.0029790265495069153
2,A_large_ey,PID,0.05220512093230167,0.4375,0.004376155282003002,4.09486954581406e-14
2,A_large_ey,MPC,0.05016267282679436,0.4375,0.0023437481603871594,3.4118971515130517e-36
2,A_large_ey,SAC,0.03362288657179983,0.4375,0.004882081747055054,-0.0002279321775352461
2,A_large_ey,Hybrid,0.034343082284623454,0.4375,0.004648694405559282,-0.00022420801754803778
2,B_large_epsi,PID,0.044552236337549886,0.33412433333333336,0.0041217854352155105,4.223906113130142e-14
2,B_large_epsi,MPC,0.04020411656591359,0.3185637578945154,0.002471450349481057,-1.0367287577911268e-35
2,B_large_epsi,SAC,0.022274093787481332,0.275,0.0041901875659823415,-0.00022793034587460624
2,B_large_epsi,Hybrid,0.02300744516961946,0.275,0.004030223736428964,-0.0002242113675309172
2,C_proc_noise,PID,0.03183661125688814,0.24815130065021204,0.003829487097685594,-0.004620141819717977
2,C_proc_noise,MPC,0.02816025210241517,0.23780471707975445,0.0026136778714662954,-0.0033915846574167465
2,C_proc_noise,SAC,0.016263724248808828,0.23780471707975445,0.005964905247092247,-0.001323677855766658
2,C_proc_noise,Hybrid,0.016626209102645183,0.23780471707975445,0.005743525906344085,-0.0014049952495071183
2,D_cf_mismatch,PID,0.036252449002204465,0.25927826666666665,0.003620226044538681,-6.746947767155865e-11
2,D_cf_mismatch,MPC,0.030005890183693727,0.24499997703501467,0.001841556273523475,-4.764108510062581e-31
2,D_cf_mismatch,SAC,0.017526462660251662,0.23750000000000002,0.003935607373714447,-0.00022794133683247912
2,D_cf_mismatch,Hybrid,0.017997454756616144,0.23750000000000002,0.003932026098720533,-0.00022421100977035478
3,A_large_ey,PID,0.05220512093230167,0.4375,0.004376155282003002,4.09486954581406e-14
3,A_large_ey,MPC,0.05016267282679436,0.4375,0.0023437481603871594,3.4118971515130517e-36
3,A_large_ey,SAC,0.0350915953236076,0.4375,0.0040794193744659426,-0.002270954358439223
3,A_large_ey,Hybrid,0.035707996443867726,0.4375,0.003973279087804255,-0.0022272073313975107
3,B_large_epsi,PID,0.044552236337549886,0.33412433333333336,0.0041217854352155105,4.223906113130142e-14
3,B_large_epsi,MPC,0.04020411656591359,0.3185637578945154,0.002471450349481057,-1.0367287577911268e-35
3,B_large_epsi,SAC,0.023197760456581357,0.275,0.0037900764495134355,-0.0022709469404421975
3,B_large_epsi,Hybrid,0.02391844536852544,0.275,0.003590276484682443,-0.002227201727185429
3,C_proc_noise,PID,0.03183661125688814,0.24815130065021204,0.003829487097685594,-0.004620141819717977
3,C_proc_noise,MPC,0.02816025210241517,0.23780471707975445,0.0026136778714662954,-0.0033915846574167465
3,C_proc_noise,SAC,0.01657286746491541,0.23780471707975445,0.005561072304844856,-0.0036046541724222983
3,C_proc_noise,Hybrid,0.016876895863289606,0.23780471707975445,0.0053922997565363315,-0.0036249105487966456
3,D_cf_mismatch,PID,0.036252449002204465,0.25927826666666665,0.003620226044538681,-6.746947767155865e-11
3,D_cf_mismatch,MPC,0.030005890183693727,0.24499997703501467,0.001841556273523475,-4.764108510062581e-31
3,D_cf_mismatch,SAC,0.017760235910662867,0.23750000000000002,0.0039892223477363585,-0.0022709543792725504
3,D_cf_mismatch,Hybrid,0.018258668839271873,0.23750000000000002,0.0037561364956647334,-0.0022272015220412295
4,A_large_ey,PID,0.05220512093230167,0.4375,0.004376155282003002,4.09486954581406e-14
4,A_large_ey,MPC,0.05016267282679436,0.4375,0.0023437481603871594,3.4118971515130517e-36
4,A_large_ey,SAC,0.033652691591528124,0.4375,0.004759677313268184,-0.001247056025876703
4,A_large_ey,Hybrid,0.03434239199224227,0.4375,0.0045234316674688515,-0.0012153886915490675
4,B_large_epsi,PID,0.044552236337549886,0.33412433333333336,0.0041217854352155105,4.223906113130142e-14
4,B_large_epsi,MPC,0.04020411656591359,0.3185637578945154,0.002471450349481057,-1.0367287577911268e-35
4,B_large_epsi,SAC,0.022049007491990718,0.275,0.004176314286887646,-0.0012470722139258246
4,B_large_epsi,Hybrid,0.02277876734911811,0.275,0.003973740951899767,-0.001215388042000467
4,C_proc_noise,PID,0.03183661125688814,0.24815130065021204,0.003829487097685594,-0.004620141819717977
4,C_proc_noise,MPC,0.02816025210241517,0.23780471707975445,0.0026136778714662954,-0.0033915846574167465
4,C_proc_noise,SAC,0.01608119457868326,0.23780471707975445,0.005322572067379952,-0.0028899654394210403
4,C_proc_noise,Hybrid,0.01655245793216572,0.23780471707975445,0.004979690320855776,-0.002919166785451709
4,D_cf_mismatch,PID,0.036252449002204465,0.25927826666666665,0.003620226044538681,-6.746947767155865e-11
4,D_cf_mismatch,MPC,0.030005890183693727,0.24499997703501467,0.001841556273523475,-4.764108510062581e-31
4,D_cf_mismatch,SAC,0.01730250328884383,0.23750000000000002,0.004474471509456635,-0.0012470782578569988
4,D_cf_mismatch,Hybrid,0.017710353214803593,0.23750000000000002,0.004089476275338946,-0.0012153849247119413
