seed,lambda_sac,rmse_ey,max_abs_ey,mean_abs_delta,score
0,1,0.020825202486681096,0.23750000000000002,0.002126964532613755,0.14063868475298796
0,2,0.019334612359530236,0.23750000000000002,0.0022994272007568605,0.13923432595990867
0,3,0.018720977271640068,0.23750000000000002,0.002380969808479031,0.13866146217587957
0,5,0.018187872723169313,0.23750000000000002,0.0024245319835285535,0.1381501387149336
0,8,0.017858364291252996,0.23750000000000002,0.0025120094876688853,0.13786436903508745
0,10,0.01772616206841273,0.23750000000000002,0.002558037547201981,0.1377551808420137
0,12,0.01763313703351055,0.23750000000000002,0.0025806600326696606,0.1376734670498454
0,15,0.017538607417045833,0.23750000000000002,0.002600471674603538,0.13758884325434761
1,1,0.02032569211821014,0.23750000000000002,0.002330193995946792,0.14024078911618354
1,2,0.019160485180883778,0.23750000000000002,0.002551250188590664,0.1391861102751791
1,3,0.01872285067316141,0.23750000000000002,0.0026578981614410486,0.13880179975388196
1,5,0.01835377951751118,0.23750000000000002,0.0027522455464680075,0.1384799022907452
1,8,0.01804913888020558,0.23750000000000002,0.0028285655966166752,0.13821342167851391
1,10,0.01793210875498263,0.23750000000000002,0.0028565841529097956,0.13811040083143752
1,12,0.017851928180404812,0.23750000000000002,0.002876880927186921,0.13804036864399827
1,15,0.017766950236127236,0.23750000000000002,0.0029006736418580614,0.1379672870570563
2,1,0.019960817765040162,0.23750000000000002,0.00238616570484597,0.13990390061746316
2,2,0.018409474816948653,0.23750000000000002,0.0026438090014760463,0.13848137931768667
2,3,0.01774041109958805,0.23750000000000002,0.0028064526877443307,0.13789363744346023
2,5,0.017160006899484045,0.23750000000000002,0.002906826256631226,0.13736342002779967
2,8,0.016828138346330023,0.23750000000000002,0.0029662508225585076,0.1370612637576093
2,10,0.016720235773522645,0.23750000000000002,0.00298363032632451,0.1369620509366849
2,12,0.01664849574808135,0.23750000000000002,0.002987268905955619,0.13689213020105917
2,15,0.01657686591815381,0.23750000000000002,0.0029860519001155463,0.13681989186821158
3,1,0.019998304791409592,0.23750000000000002,0.0024556462784684463,0.13997612793064382
3,2,0.01863362639559881,0.23750000000000002,0.002582356955618803,0.13867480487340822
3,3,0.018030551411233196,0.23750000000000002,0.00272796935946869,0.13814453609096755
3,5,0.01742642298440069,0.23750000000000002,0.0029094248127511653,0.13763113539077626
3,8,0.01703311088610631,0.23750000000000002,0.0030382451598869593,0.13730223346604978
3,10,0.016926412781277492,0.23750000000000002,0.0030542063929333944,0.13720351597774422
3,12,0.01685882798621303,0.23750000000000002,0.0030602966548129475,0.13713897631361952
3,15,0.016792195902024118,0.23750000000000002,0.0030644111988371112,0.13707440150144268
4,1,0.019779218719127235,0.23750000000000002,0.0023248249141374143,0.13969163117619596
4,2,0.018259494109622337,0.23750000000000002,0.002581494876755158,0.1383002415479999
4,3,0.017697810009861547,0.23750000000000002,0.002646160817171879,0.1377708904184475
4,5,0.01720790917994136,0.23750000000000002,0.0027156301864945122,0.13731572427318864
4,8,0.016797831704398736,0.23750000000000002,0.0028825500292690943,0.13698910671903328
4,10,0.016644754507302337,0.23750000000000002,0.0029484607374766353,0.13686898487604066
4,12,0.01654290124108457,0.23750000000000002,0.0030102916482818527,0.13679804706522553
4,15,0.016441904373580417,0.23750000000000002,0.0030826719616583466,0.1367332403544096
