case,controller,rmse_ey_mean,rmse_ey_std,max_abs_ey_mean,max_abs_ey_std,mean_abs_delta_mean,mean_abs_delta_std
A_large_ey,Hybrid,0.03467524973181266,0.0005977867156527093,0.4375,0.0,0.004484789896374132,0.0003831131862939026
A_large_ey,MPC,0.05016267282679436,0.0,0.4375,0.0,0.0023437481603871594,0.0
A_large_ey,PID,0.05220512093230166,0.0,0.4375,0.0,0.004376155282003002,0.0
A_large_ey,SAC,0.034008390508529523,0.0006233138547701261,0.4375,0.0,0.004676289275288582,0.00040996987437819343
B_large_epsi,Hybrid,0.023375317253388768,0.00048342863997759907,0.275,0.0,0.003854540212762099,0.00018831644479939865
B_large_epsi,MPC,0.04020411656591359,0.0,0.3185637578945154,0.0,0.002471450349481057,0.0
B_large_epsi,PID,0.044552236337549886,0.0,0.33412433333333336,0.0,0.0041217854352155105,0.0
B_large_epsi,SAC,0.022658447920818232,0.00048697955354752516,0.275,0.0,0.004014234051108361,0.00018449804881681323
C_proc_noise,Hybrid,0.017086332453672515,0.0005665999684068518,0.23780471707975445,0.0,0.005187327425452588,0.0003881843489210331
C_proc_noise,MPC,0.028160252102415174,0.0,0.23780471707975445,0.0,0.0026136778714662954,0.0
C_proc_noise,PID,0.03183661125688814,0.0,0.24815130065021201,0.0,0.003829487097685594,0.0
C_proc_noise,SAC,0.016683983204479072,0.0005527778554491405,0.23780471707975445,0.0,0.005417208045721054,0.00038065321515784277
D_cf_mismatch,Hybrid,0.01833235450547164,0.0005154693208680934,0.2375,0.0,0.0037446725227099137,0.0003326322761844012
D_cf_mismatch,MPC,0.030005890183693727,0.0,0.2449999770350147,0.0,0.0018415562735234752,0.0
D_cf_mismatch,PID,0.036252449002204465,0.0,0.25927826666666665,0.0,0.003620226044538681,0.0
D_cf_mismatch,SAC,0.01789689739757699,0.0005321133219859168,0.2375,0.0,0.003908170334994793,0.00043941626901222177
