Controller,RMSE e_y,Max |e_y|,Mean |delta|,Final e_y
PID,0.031916666476707524,0.25,0.002790547423341595,2.7729252196480672e-14
MPC,0.028301017742442768,0.23750000000000002,0.0015534282260654157,5.9100139695582896e-37
SAC,0.01654707621821804,0.23750000000000002,0.0030653029680252075,-0.0022709512301810147
Hybrid,0.01685882798621303,0.23750000000000002,0.0030602966548129475,-0.0022272013351130825
