q_ey,q_epsi,q_r,R,Rd,rmse,max,mean_delta,score
14,6,4,0.1,3.0,0.03076500066599,0.239456687588237,0.0014114626291818297,0.15077563698594484
14,5,4,0.06,3.0,0.030764943942872155,0.2394891006776983,0.0014131102065507298,0.15079211632303144
14,5,4,0.08,3.0,0.030766132192965777,0.23949189305691038,0.0014130666736590933,0.15079469205615278
14,5,4,0.1,3.0,0.03076732025210129,0.23949468453348496,0.001413023140499048,0.15079726714694358
10,7,3,0.06,1.5,0.031423519666553386,0.2418302037299104,0.0013895065148156877,0.15261652283447172
10,7,3,0.08,1.5,0.031425032715118255,0.2418354527097818,0.001389451300947474,0.15262064933019864
10,7,3,0.1,1.5,0.03142654546039235,0.24184069999305774,0.0013893960884789047,0.152624774674617
10,6,3,0.06,1.5,0.03142672283069111,0.2418998718721145,0.0013913903967879846,0.15265493684610595
10,6,3,0.08,1.5,0.0314282372689425,0.24190511458404754,0.0013913347415582525,0.1526590615092779
10,6,3,0.1,1.5,0.03142975140243046,0.2419103555965303,0.0013912790878502462,0.15266318501826565
10,5,3,0.06,1.5,0.031430258253387626,0.2419707790715481,0.0013932816579454441,0.15269430412075075
10,5,3,0.08,1.5,0.03143177407071232,0.24197601527055207,0.0013932255532560012,0.15269842681663956
10,5,3,0.1,1.5,0.03143328958177561,0.24198124976724816,0.0013931694502136527,0.15270254835544242
10,7,3,0.06,2.0,0.0314587373480462,0.242030308619071,0.0013899612714303948,0.15275188391186775
10,7,3,0.08,2.0,0.03146024095017313,0.2420354975878451,0.0013899057471257153,0.15275597089352083
10,7,3,0.1,2.0,0.03146174425419661,0.24204068489111563,0.0013898502244520142,0.15276005674464485
10,6,3,0.06,2.0,0.03146195718601313,0.24209995280826072,0.0013918430572786844,0.15279030220159923
10,6,3,0.08,2.0,0.031463462163897234,0.24210513543994053,0.0013917870920026765,0.15279438730226805
10,6,3,0.1,2.0,0.031464966842212866,0.24211031640335373,0.0013917311284801267,0.15279847126958576
10,5,3,0.06,2.0,0.03146550971849648,0.24217083401561243,0.0013937321531106409,0.1528296731569248
10,5,3,0.08,2.0,0.03146701606115936,0.24217601006496398,0.0013936757387893054,0.15283375624139922
10,5,3,0.1,2.0,0.03146852210276373,0.2421811844432846,0.0013936193263471943,0.15283783818967547
12,7,4,0.06,1.5,0.03163855648264269,0.24206038447261424,0.0013741269755710055,0.152943574114064
12,7,4,0.08,1.5,0.031639794160105095,0.2420646904576466,0.0013740993167916018,0.15294695925228668
12,7,4,0.1,1.5,0.03164103163034551,0.24206899529463682,0.0013740716540940143,0.15295034360848273
12,6,4,0.06,1.5,0.031641683533374966,0.24211814574002535,0.0013759052988615535,0.15297593746315996
12,6,4,0.08,1.5,0.03164292195376959,0.24212244691278598,0.0013758773467917138,0.15297932087952093
12,6,4,0.1,1.5,0.0316441601661725,0.24212674693622802,0.001375849390856652,0.15298270351245785
12,5,4,0.06,1.5,0.031645042319260824,0.24217674738367576,0.0013776921727205482,0.1530089544456428
12,5,4,0.08,1.5,0.03164628147322853,0.24218104359821493,0.0013776639207553185,0.15301233605648706
12,5,4,0.1,1.5,0.03164752041842455,0.24218533866216552,0.0013776356649785352,0.153015716882503
10,7,3,0.06,3.0,0.03152736424620948,0.24242328533048266,0.001390832011817757,0.15301717331381437
10,7,3,0.08,3.0,0.03152885002067321,0.24242835763078557,0.0013907758977395887,0.1530211840156139
10,7,3,0.1,3.0,0.0315303355064581,0.24243342832584544,0.0013907197857227444,0.15302519362652536
10,6,3,0.06,3.0,0.03153061697408982,0.24249287006220835,0.0013927096259655995,0.1530555939303871
12,7,4,0.06,2.0,0.03166836468313065,0.242226571182791,0.001374765953730335,0.15305660346527222
10,6,3,0.08,3.0,0.03153210409708768,0.242497935901529,0.0013926530717160972,0.1530596026621954
12,7,4,0.08,2.0,0.031669595497345396,0.24223083598394402,0.001374738021632252,0.15305996109364384
12,7,4,0.1,2.0,0.03167082610760296,0.24223509965448425,0.0013747100857747622,0.15306331795200004
10,6,3,0.1,3.0,0.03153359092995635,0.2425030001330087,0.0013925965196511336,0.15306361030039092
12,6,4,0.06,2.0,0.03167150157198588,0.2422843128693297,0.001376543741883176,0.15308896675502737
12,6,4,0.08,2.0,0.03167273312141242,0.24228857281931393,0.0013765155162571274,0.1530923226343208
10,5,3,0.06,3.0,0.031534203249231216,0.24256368770829964,0.0013945944145050163,0.15309496598628203
12,6,4,0.1,2.0,0.03167396446611577,0.24229283163745355,0.001376487286925128,0.15309567774222757
10,5,3,0.08,3.0,0.03153569170907409,0.24256874684103236,0.0013945374120571089,0.15309897261200167
10,5,3,0.1,3.0,0.03153717987731276,0.24257380436332632,0.0013944804119202464,0.15310297814135995
12,5,4,0.06,2.0,0.03167487041452892,0.24234289367617146,0.0013783300432848725,0.15312198326127163
12,5,4,0.08,2.0,0.03167610268964386,0.24234714862899115,0.0013783015175304531,0.15312533730764552
12,5,4,0.1,2.0,0.031677334759259504,0.2423514024487417,0.0013782729881242552,0.15312869058125522
12,7,4,0.06,3.0,0.0317266317864382,0.24255405138408453,0.0013760098257392284,0.15327885944362832
12,7,4,0.08,3.0,0.0317278495651368,0.24255823558682785,0.001375981369002821,0.1532821636323513
12,7,4,0.1,3.0,0.03172906714587075,0.2425624186931441,0.001375952908805364,0.15328546707420387
12,6,4,0.06,3.0,0.03172978811018841,0.24261174672533858,0.001377786521123758,0.15331121877708243
12,6,4,0.08,3.0,0.03173100660898103,0.24261592600675785,0.0013777577704187538,0.15331452116644373
12,6,4,0.1,3.0,0.03173222490905019,0.24262010419059934,0.0013777290163071076,0.15331782280761128
12,5,4,0.06,3.0,0.03173317681591768,0.24267027866298016,0.0013795716562914845,0.15334423047866605
12,5,4,0.08,3.0,0.03173439602496044,0.24267445287703587,0.0013795426050262861,0.15334753098448364
12,5,4,0.1,3.0,0.031735615034511,0.24267862599237097,0.001379513550409574,0.1533508307407784
10,7,4,0.06,1.5,0.03281242854284731,0.24584446247606093,0.001344966865930185,0.1560036531540638
10,7,4,0.08,1.5,0.032813702097515496,0.24584850291014854,0.001344938164488974,0.15600694118548755
10,7,4,0.1,1.5,0.03281497543626013,0.24585254226331954,0.001344909461074123,0.15601022846013474
10,6,4,0.06,1.5,0.032816457812089084,0.245906260969047,0.0013466430185774627,0.15603891690032806
10,6,4,0.08,1.5,0.03281773152152051,0.2459102938241131,0.0013466140553226628,0.1560422012446416
10,6,4,0.1,1.5,0.03281900501422036,0.24591432559796098,0.0013465850901640424,0.15604548483123368
10,5,4,0.06,1.5,0.032820794353723245,0.24596904141665896,0.0013483248390310496,0.15607498002985892
10,5,4,0.08,1.5,0.032822068190457715,0.24597306647351452,0.0013482956082552478,0.15607826054886603
10,5,4,0.1,1.5,0.03282334180964396,0.245977090448888,0.0013482663756463344,0.15608154030921723
10,7,4,0.06,2.0,0.03284232756728259,0.2460033192815008,0.0013455154979487157,0.15611309030762274
10,7,4,0.08,2.0,0.03284359420396504,0.2460073201081758,0.0013454865621971273,0.1561163515704924
10,7,4,0.1,2.0,0.03284486062802688,0.24601131987095304,0.0013454576246099243,0.1561196120884254
10,6,4,0.06,2.0,0.032846361406317845,0.2460650638318482,0.0013471909868216633,0.15614833151960628
10,6,4,0.08,2.0,0.03284762818966314,0.24606905705524543,0.0013471617893657368,0.156151589075159
10,6,4,0.1,2.0,0.03284889475958426,0.24607304921448148,0.0013471325901442104,0.15615484588485382
10,5,4,0.06,2.0,0.03285070267283347,0.24612778837609933,0.0013488721032770394,0.15618437128153853
10,5,4,0.08,2.0,0.032851969575193776,0.24613177377730255,0.0013488426384226262,0.15618762499152958
10,5,4,0.1,2.0,0.032853236263317834,0.24613575811411925,0.0013488131718735982,0.15619087795475217
10,7,4,0.06,3.0,0.032900775386479716,0.24631623270668748,0.001346582488926052,0.15632820823760868
10,7,4,0.08,3.0,0.03290202888009131,0.2463201561086491,0.0013465531040496104,0.15633141755522578
10,7,4,0.1,3.0,0.03290328216714857,0.2463240784799987,0.0013465237175965268,0.15633462615066723
10,6,4,0.06,3.0,0.03290481832873822,0.24637786388719285,0.0013482566415926995,0.15636340160065318
10,6,4,0.08,3.0,0.03290607195308792,0.24638177964404992,0.001348226995246417,0.15636660717416218
10,6,4,0.1,3.0,0.032907325370088454,0.24638569437010044,0.0013481973473938613,0.15636981202461744
10,5,4,0.06,3.0,0.03290916900135876,0.24644047115608272,0.0013499363429139623,0.1563993918479829
10,5,4,0.08,3.0,0.03291042272843225,0.2464443790494979,0.0013499064294294494,0.1564025935390671
10,5,4,0.1,3.0,0.032911676247353555,0.24644828591195073,0.0013498765145101817,0.15640579450623096
