lambda_sac,rmse_ey,max_abs_ey,mean_abs_delta,score
15,0.018493949729094475,0.23750000000000002,0.0027903293618684643,0.1386391144100287
12,0.018565698117364245,0.23750000000000002,0.0027779688524177757,0.13870468254357313
10,0.01863718573222497,0.23750000000000002,0.002765586079145381,0.13876997877179767
8,0.01874362373632032,0.23750000000000002,0.0027472571592427287,0.13886725231594169
5,0.019060553408096974,0.23750000000000002,0.0027036949240868808,0.13916240087014042
3,0.019666089953401238,0.23750000000000002,0.002620041377002637,0.13972611064190255
2,0.02056364843506195,0.23750000000000002,0.002440976585561281,0.1405341367278426
1,0.02258259113648522,0.23750000000000002,0.002270457227690083,0.14246781975033027
